"","uri","marketValue_2010","marketValue_2011","marketValue_2012","marketValue_2013","marketValue_2014","marketValue_2015","marketValue_2016","marketValue_2017","marketValue_2018","marketValue_2019","marketValue_2020","industry","country","organization.image"
"366","canadian-national-railway",NA,34057,34995,42674,46687,53492,51559,55897,58419,67891,58825,"Transportation","Canada","http://images.forbes.com/media/lists/companies/canadian-national-railway_416x416.jpg"
"367","oversea-chinese-banking",NA,24402,24584,28971,26064,31228,28583,28845,41166,36893,28262,"Banking","Singapore","http://images.forbes.com/media/lists/companies/oversea-chinese-banking_416x416.jpg"
"368","firstrand",NA,15532,17903,17957,18756,26872,18457,18198,30278,27233,12358,"Diversified Financials","South Africa","http://images.forbes.com/media/lists/companies/firstrand_416x416.jpg"
"369","royal-bank-of-scotland",NA,75148,48249,52039,59814,60155,42437,34971,47935,41272,16843,"Banking","United Kingdom","http://images.forbes.com/media/lists/companies/royal-bank-of-scotland_416x416.jpg"
"370","femsa",NA,18614,25373,37698,33256,33776,33621,33098,31199,34547,23410,"Food, Drink & Tobacco","Mexico","http://images.forbes.com/media/lists/companies/femsa_416x416.jpg"
"371","saic-motor",NA,25937,26420,26706,24673,47119,34437,43491,63835,51474,31312,"Consumer Durables","China","http://images.forbes.com/media/lists/companies/saic-motor_416x416.jpg"
"372","ebay",NA,40146,48504,65357,71005,68903,27880,36599,38030,31476,31708,"Business Services & Supplies","United States","http://images.forbes.com/media/lists/companies/ebay_416x416.jpg"
"373","general-mills",NA,23722,25032,29899,31818,33822,35997,33214,25293,30969,36302,"Food, Drink & Tobacco","United States","http://images.forbes.com/media/lists/companies/general-mills_416x416.jpg"
"374","fortum",NA,27060,21845,17643,20343,17727,12882,12450,21294,18301,14740,"Utilities","Finland","http://images.forbes.com/media/lists/companies/fortum_416x416.jpg"
"375","heineken",NA,13030,13251,18646,40293,20865,23265,22966,28450,28319,22376,"Food, Drink & Tobacco","Netherlands","http://images.forbes.com/media/lists/companies/heineken_416x416.jpg"
"376","illinois-tool-works",NA,27219,28015,28318,34924,36496,37767,45535,49388,51761,51597,"Capital Goods","United States","http://images.forbes.com/media/lists/companies/illinois-tool-works_416x416.jpg"
"377","public-service-enterprise-group",NA,16386,15242,16838,19032,21470,22896,22638,25842,29729,25615,"Utilities","United States","http://images.forbes.com/media/lists/companies/public-service-enterprise-group_416x416.jpg"
"378","corning",NA,33365,21757,19023,29166,28383,23084,24854,23250,27365,16706,"Technology Hardware & Equipment","United States","http://images.forbes.com/media/lists/companies/corning_416x416.jpg"
"379","wpp",NA,15767,17169,20711,27726,30137,30054,27433,22481,15159,9485,"Media","United Kingdom","http://images.forbes.com/media/lists/companies/wpp_416x416.jpg"
"380","coal-india",NA,46062,43076,37399,30634,36657,27317,27448,24957,22535,12283,"Materials","India","http://images.forbes.com/media/lists/companies/coal-india_416x416.jpg"
"381","norfolk-southern",NA,23692,22773,23747,30377,31989,27052,36012,43059,52979,43832,"Transportation","United States","http://images.forbes.com/media/lists/companies/norfolk-southern_416x416.jpg"
"382","jfe-holdings",NA,18713,13439,12587,10873,13604,10291,9421,12463,10060,3899,"Materials","Japan","http://images.forbes.com/media/lists/companies/jfe-holdings_416x416.jpg"
"383","automatic-data-processing",NA,25024,27031,31303,37342,40982,41010,45873,56096,70764,63047,"Business Services & Supplies","United States","http://images.forbes.com/media/lists/companies/automatic-data-processing_416x416.jpg"
"384","edison-international",NA,12303,13893,16597,18447,20930,22367,26146,20295,20555,21289,"Utilities","United States","http://images.forbes.com/media/lists/companies/edison-international_416x416.jpg"
"385","fresenius",NA,14665,16632,22078,27787,32800,40038,43886,44086,30561,23810,"Health Care Equipment & Services","Germany","http://images.forbes.com/media/lists/companies/fresenius_416x416.jpg"
"386","akzo-nobel",NA,15290,14171,16245,19817,19260,17668,21357,22441,20180,14886,"Chemicals","Netherlands","http://images.forbes.com/media/lists/companies/akzo-nobel_416x416.jpg"
"387","baxter-international",NA,30478,33514,37893,39851,37303,23834,28610,37762,37991,45030,"Health Care Equipment & Services","United States","http://images.forbes.com/media/lists/companies/baxter-international_416x416.jpg"
"388","macquarie-group",NA,12340,9326,13531,17203,20036,17629,21155,27597,30808,22762,"Diversified Financials","Australia","http://images.forbes.com/media/lists/companies/macquarie-group_416x416.jpg"
"389","national-bank-of-greece",NA,8627,3047,952,13421,4249,3043,2438,3402,2005,1241,"Banking","Greece","http://images.forbes.com/media/lists/companies/national-bank-of-greece_416x416.jpg"
"390","consolidated-edison",NA,14677,16876,17330,15556,18027,21036,23756,23873,27336,26317,"Utilities","United States","http://images.forbes.com/media/lists/companies/consolidated-edison_416x416.jpg"
"391","cenovus-energy",NA,26880,28122,24372,21807,14563,12673,11228,13446,12406,4468,"Oil & Gas Operations","Canada","http://images.forbes.com/media/lists/companies/cenovus-energy_416x416.jpg"
"392","formosa-petrochemical",NA,28209,30111,26483,24304,20927,26713,33596,40173,35368,28735,"Oil & Gas Operations","Taiwan","http://images.forbes.com/media/lists/companies/formosa-petrochemical_416x416.jpg"
"393","agc",NA,15062,10014,7825,6718,7749,6917,9218,9908,7533,5592,"Chemicals","Japan","http://images.forbes.com/media/lists/companies/agc_416x416.jpg"
"394","colgate-palmolive",NA,39105,45459,52419,59015,63433,61609,64944,54703,59628,60253,"Household & Personal Products","United States","http://images.forbes.com/media/lists/companies/colgate-palmolive_416x416.jpg"
"395","entergy",NA,13193,11987,11617,12042,14335,13335,13683,14258,17801,19180,"Utilities","United States","http://images.forbes.com/media/lists/companies/entergy_416x416.jpg"
"396","pernod-ricard",NA,23908,27762,34483,30640,32463,28667,31356,43629,45945,40041,"Food, Drink & Tobacco","France","http://images.forbes.com/media/lists/companies/pernod-ricard_416x416.jpg"
"397","sampo",NA,17128,16256,22156,29741,29398,25437,26458,29186,25757,18394,"Insurance","Finland","http://images.forbes.com/media/lists/companies/sampo_416x416.jpg"
"398","rolls-royce-holdings",NA,17896,24992,30738,34345,26060,18126,18174,21072,22492,8038,"Aerospace & Defense","United Kingdom","http://images.forbes.com/media/lists/companies/rolls-royce-holdings_416x416.jpg"
"399","mitsui-fudosan",NA,17178,17452,25166,26774,30117,26291,21077,25362,22685,18237,"Construction","Japan","http://images.forbes.com/media/lists/companies/mitsui-fudosan_416x416.jpg"
"400","emd-group",NA,19998,23476,31983,36300,50667,40011,49092,43268,45844,50526,"Drugs & Biotechnology","Germany","http://images.forbes.com/media/lists/companies/emd-group_416x416.jpg"
"401","sun-hung-kai-properties",NA,41083,38935,36361,33424,44823,36781,43601,46870,49302,39772,"Construction","Hong Kong","http://images.forbes.com/media/lists/companies/sun-hung-kai-properties_416x416.jpg"
"402","etisalat",NA,24323,19997,21848,25830,26636,45223,42739,38238,39350,36699,"Telecommunications Services","United Arab Emirates","http://images.forbes.com/media/lists/companies/etisalat_416x416.jpg"
"403","firstenergy",NA,16080,18611,17607,14036,15099,14638,13897,16244,21522,22358,"Utilities","United States","http://images.forbes.com/media/lists/companies/firstenergy_416x416.jpg"
"404","lincoln-national",NA,9562,7799,9078,13422,14622,10598,14796,14874,13536,6871,"Insurance","United States","http://images.forbes.com/media/lists/companies/lincoln-national_416x416.jpg"
"405","novo-nordisk",NA,71300,82575,94962,119599,146952,144893,88213,116890,116330,146765,"Drugs & Biotechnology","Denmark","http://images.forbes.com/media/lists/companies/novo-nordisk_416x416.jpg"
"406","bharti-airtel",NA,27098,24744,21842,21121,25775,21214,21445,22912,19988,37357,"Telecommunications Services","India","http://images.forbes.com/media/lists/companies/bharti-airtel_416x416.jpg"
"407","msad-insurance",NA,15317,13328,14125,14305,18101,17635,19186,20257,18020,16697,"Insurance","Japan","http://images.forbes.com/media/lists/companies/msad-insurance_416x416.jpg"
"408","rogers-communications",NA,19305,20447,25268,21587,17852,19847,22947,24763,26593,21194,"Telecommunications Services","Canada","http://images.forbes.com/media/lists/companies/rogers-communications_416x416.jpg"
"409","sony",NA,34419,22061,17603,20147,34183,34140,40441,59896,60146,78728,"Consumer Durables","Japan","http://images.forbes.com/media/lists/companies/sony_416x416.jpg"
"410","xerox",NA,14554,11081,10660,13556,14296,11315,7238,7684,7897,3893,"Business Services & Supplies","United States","http://images.forbes.com/media/lists/companies/xerox_416x416.jpg"
"411","maybank",NA,20979,22013,24338,26292,24460,22679,20661,29577,24007,19790,"Banking","Malaysia","http://images.forbes.com/media/lists/companies/maybank_416x416.jpg"
"412","sabanci-holding",NA,9668,9721,12680,8099,7605,7330,5433,4693,2785,2386,"Diversified Financials","Turkey","http://images.forbes.com/media/lists/companies/sabanci-holding_416x416.jpg"
"413","lg-chem",NA,22776,21836,16204,16405,13942,17758,17692,24717,24864,23673,"Chemicals","South Korea","http://images.forbes.com/media/lists/companies/lg-chem_416x416.jpg"
"414","thermo-fisher-scientific",NA,21581,21187,27577,47752,52970,57782,59899,87123,103903,132182,"Health Care Equipment & Services","United States","http://images.forbes.com/media/lists/companies/thermo-fisher-scientific_416x416.jpg"
"415","manulife",NA,31584,24907,27762,36031,34020,29277,34377,38499,36187,24547,"Insurance","Canada","http://images.forbes.com/media/lists/companies/manulife_416x416.jpg"
"416","crh",NA,14902,15908,16731,20959,21539,23420,28990,30874,28250,23751,"Construction","Ireland","http://images.forbes.com/media/lists/companies/crh_416x416.jpg"
"417","metallurgical-corp-of-china",NA,11062,7656,5923,4978,15805,11028,15403,11395,10899.2,3609,"Construction","China","http://images.forbes.com/media/lists/companies/metallurgical-corp-of-china_416x416.jpg"
"418","cimb-group-holdings",NA,19511,18621,16814,18066,14541,10740,10918,16358,11659,7961,"Banking","Malaysia","http://images.forbes.com/media/lists/companies/cimb-group-holdings_416x416.jpg"
"419","suncorp-group",NA,10554,11221,15854,15178,13463,12471,12639,13609,12574,7587,"Insurance","Australia","http://images.forbes.com/media/lists/companies/suncorp-group_416x416.jpg"
"420","investor-ab",NA,17624,17036,22868,28251,30805,28780,32186,33927,36079,38493,"Diversified Financials","Sweden","http://images.forbes.com/media/lists/companies/investor-ab_416x416.jpg"
"421","hm-hennes-mauritz",NA,53372,61646,59751,70864,67819,60841,39938,26741,29740,23079,"Retailing","Sweden","http://images.forbes.com/media/lists/companies/hm-hennes-mauritz_416x416.jpg"
"422","inpex",NA,24008,25189,20577,19105,16298,12258,14856,18479,13801,9437,"Oil & Gas Operations","Japan","http://images.forbes.com/media/lists/companies/inpex_416x416.jpg"
"423","delta-air-lines",NA,9375,7787,13625,30365,34422,34428,33009,37108,38101,16526,"Transportation","United States","http://images.forbes.com/media/lists/companies/delta-air-lines_416x416.jpg"
"424","waste-management",NA,17531,16074,17418,19490,24962,25073,32344,35784,44923,42371,"Business Services & Supplies","United States","http://images.forbes.com/media/lists/companies/waste-management_416x416.jpg"
"425","valero-energy",NA,15920,15536,24429,29560,30600,28807,29423,49397,36767,25828,"Oil & Gas Operations","United States","http://images.forbes.com/media/lists/companies/valero-energy_416x416.jpg"
"426","hitachi",NA,27266,27157,28458,36235,33491,23329,25556,38516,31760,29285,"Conglomerates","Japan","http://images.forbes.com/media/lists/companies/hitachi_416x416.jpg"
"427","progressive",NA,13762,13814,15176,14317,15864,19210,22824,36358,43800,45244,"Insurance","United States","http://images.forbes.com/media/lists/companies/progressive_416x416.jpg"
"428","mosaic",NA,34032,24465,26687,19863,17221,9993,10127,10237,10443,4363,"Chemicals","United States","http://images.forbes.com/media/lists/companies/mosaic_416x416.jpg"
"429","carlsberg",NA,16006,12798,15769,15178,13089,14691,14112,17425,19285,18103,"Food, Drink & Tobacco","Denmark","http://images.forbes.com/media/lists/companies/carlsberg_416x416.jpg"
"430","lg-display",NA,11139,9264,10392,9024,10476,8107,9415,7796,6845,3245,"Trading Companies","South Korea","http://images.forbes.com/media/lists/companies/lg-display_416x416.jpg"
"431","hyundai-mobis",NA,23485,24523,26370,28743,21106,21257,18865,20989,19407,13154,"Capital Goods","South Korea","http://images.forbes.com/media/lists/companies/hyundai-mobis_416x416.jpg"
"432","principal-financial-group",NA,10372,8793,10002,13851,15114,12815,18040,16905,15360,9972,"Diversified Financials","United States","http://images.forbes.com/media/lists/companies/principal-financial-group_416x416.jpg"
"433","panasonic",NA,26874,22696,16724,28448,32436,22949,26194,34929,21273,18037,"Consumer Durables","Japan","http://images.forbes.com/media/lists/companies/panasonic_416x416.jpg"
"434","humana",NA,10863,14213,11052,17525,26673,26123,30408,39201,32647,50479,"Drugs & Biotechnology","United States","http://images.forbes.com/media/lists/companies/humana_416x416.jpg"
"435","te-connectivity",NA,15436,15854,17580,24708,28907,21893,25976,33116,30250,24546,"Technology Hardware & Equipment","Switzerland","http://images.forbes.com/media/lists/companies/te-connectivity_416x416.jpg"
"436","grupo-mexico",NA,27552,25249,32270,24365,23663,18525,23656,22591,24323,16806,"Materials","Mexico","http://images.forbes.com/media/lists/companies/grupo-mexico_416x416.jpg"
"437","eaton",NA,17571,17076,29477,36064,32231,28852,33449,33440,36148,34355,"Capital Goods","Ireland","http://images.forbes.com/media/lists/companies/eaton_416x416.jpg"
"438","international-paper",NA,11429,15547,20146,20123,22965,17828,20772,22216,17838,13475,"Materials","United States","http://images.forbes.com/media/lists/companies/international-paper_416x416.jpg"
"439","sysco",NA,16217,17321,19842,21123,22408,25842,27978,32728,36451,28614,"Food Markets","United States","http://images.forbes.com/media/lists/companies/sysco_416x416.jpg"
"440","mitsubishi-electric",NA,24247,19063,18828,24728,26203,23630,29875,32360,29093,26890,"Capital Goods","Japan","http://images.forbes.com/media/lists/companies/mitsubishi-electric_416x416.jpg"
"441","fifth-third-bank",NA,12747,13181,14653,19652,15473,14594,18773,23293,21206,13294,"Banking","United States","http://images.forbes.com/media/lists/companies/fifth-third-bank_416x416.jpg"
"442","compass-group",NA,16282,20081,23109,27272,29409,28878,31115,32365,35470,26763,"Hotels, Restaurants & Leisure","United Kingdom","http://images.forbes.com/media/lists/companies/compass-group_416x416.jpg"
"443","clp-holdings",NA,19680,21016,21667,19249,21329,23615,26760,26504,28565,26984,"Utilities","Hong Kong","http://images.forbes.com/media/lists/companies/clp-holdings_416x416.jpg"
"444","kohls",NA,15924,12765,11393,11857,15983,8418,6756,10133,11482,2866,"Retailing","United States","http://images.forbes.com/media/lists/companies/kohls_416x416.jpg"
"445","national-bank-of-canada",NA,12405,13056,12257,13318,12284,12020,14255,16815,15889,13575,"Banking","Canada","http://images.forbes.com/media/lists/companies/national-bank-of-canada_416x416.jpg"
"446","gilead-sciences",NA,32471,35389,68446,113247,145029,138078,87036,86025,80255,105758,"Drugs & Biotechnology","United States","http://images.forbes.com/media/lists/companies/gilead-sciences_416x416.jpg"
"447","larsen-toubro",NA,20713,16091,17154,19809,26288,17690,24503,28889,27526,16776,"Construction","India","http://images.forbes.com/media/lists/companies/larsen-toubro_416x416.jpg"
"448","shin-etsu-chemical",NA,22212,24124,28709,24154,27624,24378,36212,44416,40058,46725,"Chemicals","Japan","http://images.forbes.com/media/lists/companies/shin-etsu-chemical_416x416.jpg"
"449","j-sainsbury",NA,10971,9023,10366,9816,7472,8112,7100,9125,6537,5525,"Food Markets","United Kingdom","http://images.forbes.com/media/lists/companies/j-sainsbury_416x416.jpg"
"450","discover-financial-services",NA,11903,16987,21960,27821,25787,23406,25330,26302,25169,13149,"Business Services & Supplies","United States","http://images.forbes.com/media/lists/companies/discover-financial-services_416x416.jpg"
"451","veon",NA,18904,17864,19043,15898,10119,6664,6751,4705,4128,2991,"Telecommunications Services","Netherlands","http://images.forbes.com/media/lists/companies/veon_416x416.jpg"
"452","macys",NA,10049,16456,16198,21715,23273,12770,8881,9068,7731,1815,"Retailing","United States","http://images.forbes.com/media/lists/companies/macys_416x416.jpg"
"453","wm-morrison-supermarkets",NA,12163,11998,9538,8188,6829,6438,6778,8097,6891,5519,"Food Markets","United Kingdom","http://images.forbes.com/media/lists/companies/wm-morrison-supermarkets_416x416.jpg"
"454","amp",NA,11127,12510,16008,13538,14796,13147,11402,8121,4770,3190,"Diversified Financials","Australia","http://images.forbes.com/media/lists/companies/amp_416x416.jpg"
"455","toshiba",NA,25417,19259,21330,17907,17335,9409,8259,17040,17326,11397,"Consumer Durables","Japan","http://images.forbes.com/media/lists/companies/toshiba_416x416.jpg"
"456","pko-bank-polski",NA,18177,13909,13799,17394,11467,8228,10500,14856,12881,6644,"Banking","Poland","http://images.forbes.com/media/lists/companies/pko-bank-polski_416x416.jpg"
"457","relx",NA,19440,19329,25624,17708,35922,37155,40929,43397,43358,43617,"Business Services & Supplies","United Kingdom","http://images.forbes.com/media/lists/companies/relx_416x416.jpg"
"458","tata-motors",NA,15219,16983,15858,19860,28773,20366,24934,16816,11639,4492,"Consumer Durables","India","http://images.forbes.com/media/lists/companies/tata-motors_416x416.jpg"
"459","telus",NA,15450,18646,22257,22314,20708,18476,19547,21251,22356,20747,"Telecommunications Services","Canada","http://images.forbes.com/media/lists/companies/telus_416x416.jpg"
"460","sandvik",NA,21860,18992,20545,17951,13914,13394,18511,23013,23698,19431,"Capital Goods","Sweden","http://images.forbes.com/media/lists/companies/sandvik_416x416.jpg"
"461","kellogg",NA,20095,18794,22510,22493,23519,26516,25410,21293,20090,22434,"Food, Drink & Tobacco","United States","http://images.forbes.com/media/lists/companies/kellogg_416x416.jpg"
"462","cathay-financial",NA,16391,11910,14323,17078,20161,14057,19775,23050,18006,17670,"Insurance","Taiwan","http://images.forbes.com/media/lists/companies/cathay-financial_416x416.jpg"
"463","fubon-financial",NA,11126,10462,13724,13947,18972,12623,16092,17813,14933,14557,"Insurance","Taiwan","http://images.forbes.com/media/lists/companies/fubon-financial_416x416.jpg"
"464","magna-international",NA,12152,11295,13177,21931,22174,17319,15300,22562,18342,11673,"Consumer Durables","Canada","http://images.forbes.com/media/lists/companies/magna-international_416x416.jpg"
"465","astellas-pharma",NA,17837,19011,25882,26085,37098,31293,27980,30083,26022,30713,"Drugs & Biotechnology","Japan","http://images.forbes.com/media/lists/companies/astellas-pharma_416x416.jpg"
"466","atlas-copco",NA,29992,31396,35155,35411,39545,32762,42940,49520,36827,42182,"Capital Goods","Sweden","http://images.forbes.com/media/lists/companies/atlas-copco_416x416.jpg"
"467","ppl",NA,12236,16398,17771,20656,22941,24673,25373,19448,22329,19527,"Utilities","United States","http://images.forbes.com/media/lists/companies/ppl_416x416.jpg"
"468","tatneft",NA,13631,15066,14839,13017,12088,11227,14577,25551,27238,16739,"Oil & Gas Operations","Russia","http://images.forbes.com/media/lists/companies/tatneft_416x416.jpg"
"469","aon",NA,17071,15924,18663,25533,27417,27881,31418,35232,42140,39901,"Insurance","Ireland","http://images.forbes.com/media/lists/companies/aon_416x416.jpg"
"470","leonardo",NA,7136,2899,2994,5782,7190,7116,8308,6594,6861,3964,"Aerospace & Defense","Italy","http://images.forbes.com/media/lists/companies/leonardo_416x416.jpg"
"471","omnicom-group",NA,14048,13643,15697,18684,19496,20009,20104,17065,18120,12221,"Media","United States","http://images.forbes.com/media/lists/companies/omnicom-group_416x416.jpg"
"472","trane-technologies",NA,15335,12216,16413,15893,17866,16591,21441,22024,27314,20911,"Conglomerates","Ireland","http://images.forbes.com/media/lists/companies/trane-technologies_416x416.jpg"
"473","swire-pacific",NA,21579,17348,18808,17719,20019,15757,15081,15141,18891,9859,"Conglomerates","Hong Kong","http://images.forbes.com/media/lists/companies/swire-pacific_416x416.jpg"
"474","unum",NA,8151,7103,7482,9192,8433,8064,10627,8394,7766,3548,"Insurance","United States","http://images.forbes.com/media/lists/companies/unum_416x416.jpg"
"475","saudi-electricity",NA,14499,17220,15277,17498,18794,18787,26597,23542,18288,18930,"Utilities","Saudi Arabia","http://images.forbes.com/media/lists/companies/saudi-electricity_416x416.jpg"
"476","sompo",NA,12260,10020,9362,10563,13201,11930,14379,16434,14210,11918,"Insurance","Japan","http://images.forbes.com/media/lists/companies/sompo_416x416.jpg"
"477","china-vanke",NA,13835,14224,18879,14856,24287,27696,30546,43806,46533,37614,"Construction","China","http://images.forbes.com/media/lists/companies/china-vanke_416x416.jpg"
"478","natixis",NA,16497,12287,13221,23606,24481,17175,19135,26002,18583,7465,"Diversified Financials","France","http://images.forbes.com/media/lists/companies/natixis_416x416.jpg"
"479","sempra-energy",NA,12930,14125,19225,23641,27324,25214,27486,28284,34930,36213,"Oil & Gas Operations","United States","http://images.forbes.com/media/lists/companies/sempra-energy_416x416.jpg"
"480","aeon",NA,9287,9996,8935,9274,9974,12979,12378,16519,15189,17093,"Food Markets","Japan","http://images.forbes.com/media/lists/companies/aeon_416x416.jpg"
"481","steel-authority-of-india",NA,14186,7885,5258,4924,4617,2855,4271,4508,3416,1754,"Materials","India","http://images.forbes.com/media/lists/companies/steel-authority-of-india_416x416.jpg"
"482","tenaris",NA,26370,24785,24202,26186,16898,16229,20255,23019,17309,8268,"Materials","Luxembourg","http://images.forbes.com/media/lists/companies/tenaris_416x416.jpg"
"483","kyushu-electric-power",NA,10858,7190,4252,5530,4454,4780,5112,5617,4895,3773,"Utilities","Japan","http://images.forbes.com/media/lists/companies/kyushu-electric-power_416x416.jpg"
"484","xcel-energy",NA,11734,12852,14229,15083,17758,19836,22545,23031,28142,33371,"Utilities","United States","http://images.forbes.com/media/lists/companies/xcel-energy_416x416.jpg"
"485","amerisourcebergen",NA,10147,9880,11253,15107,24714,20714,19013,19097,15293,18460,"Drugs & Biotechnology","United States","http://images.forbes.com/media/lists/companies/amerisourcebergen_416x416.jpg"
"486","nippon-steel",NA,23284,18188,25632,25284,23457,21768,20227,19940,16155,7851,"Materials","Japan","http://images.forbes.com/media/lists/companies/nippon-steel_416x416.jpg"
"487","applied-materials",NA,19791,16552,15966,24972,27228,23858,42038,57620,41726,45621,"Semiconductors","United States","http://images.forbes.com/media/lists/companies/applied-materials_416x416.jpg"
"488","china-coal-energy",NA,21523,18379,12199,7333,13013,9241,10298,9384,9131.4,3540,"Materials","China","http://images.forbes.com/media/lists/companies/china-coal-energy_416x416.jpg"
"489","tenaga-nasional",NA,11144,11351,12592,20695,22321,20991,17435,23084,16693,16188,"Utilities","Malaysia","http://images.forbes.com/media/lists/companies/tenaga-nasional_416x416.jpg"
"490","cathay-pacific",NA,9465,7865,7117,7445,9418,6745,5691,6585,6970,4663,"Transportation","Hong Kong","http://images.forbes.com/media/lists/companies/cathay-pacific_416x416.jpg"
"491","bombardier",NA,10775,7043,7267,6703,4621,3037,3557,7820,5000,860,"Aerospace & Defense","Canada","http://images.forbes.com/media/lists/companies/bombardier_416x416.jpg"
"492","al-rajhi-bank",NA,31197,31096,25999,30097,24476,25478,27635,34919,49666,38083,"Banking","Saudi Arabia","http://images.forbes.com/media/lists/companies/al-rajhi-bank_416x416.jpg"
"493","woodside-petroleum",NA,32865,29969,31873,29403,21522,18127,20858,23678,23838,13998,"Oil & Gas Operations","Australia","http://images.forbes.com/media/lists/companies/woodside-petroleum_416x416.jpg"
"494","tjx-cos",NA,19699,28595,32758,43518,47365,50708,49123,52718,68213,59481,"Retailing","United States","http://images.forbes.com/media/lists/companies/tjx-cos_416x416.jpg"
"495","vtb-bank",NA,34390,26378,18904,14555,14628,13974,14861,10970,7295.6,6115,"Banking","Russia","http://images.forbes.com/media/lists/companies/vtb-bank_416x416.jpg"
"496","komatsu",NA,30527,27839,22161,19667,19688,17755,24277,31074,23746,18215,"Capital Goods","Japan","http://images.forbes.com/media/lists/companies/komatsu_416x416.jpg"
"497","marsh-mclennan",NA,16470,17911,20339,27194,30684,32423,37836,41387,47569,49249,"Insurance","United States","http://images.forbes.com/media/lists/companies/marsh-mclennan_416x416.jpg"
"498","cummins",NA,19534,24478,22280,27389,24999,19779,25102,24098,26431,24120,"Capital Goods","United States","http://images.forbes.com/media/lists/companies/cummins_416x416.jpg"
"499","solvay",NA,9581,9954,12537,13378,12557,10730,12876,14327,12787,8069,"Chemicals","Belgium","http://images.forbes.com/media/lists/companies/solvay_416x416.jpg"
"500","sanlam",NA,8218,8986,10717,12055,14731,10465,9459,13411,12402,6679,"Diversified Financials","South Africa","http://images.forbes.com/media/lists/companies/sanlam_416x416.jpg"
"501","air-products-chemicals",NA,18702,19315,18722,25401,32589,31942,29377,36450,43509,49820,"Chemicals","United States","http://images.forbes.com/media/lists/companies/air-products-chemicals_416x416.jpg"
"502","orix",NA,11650,10849,13524,18447,19202,19837,19750,23102,18307,15363,"Business Services & Supplies","Japan","http://images.forbes.com/media/lists/companies/orix_416x416.jpg"
"503","associated-british-foods",NA,11975,14929,22748,36665,33907,35723,24369,29505,25822,18862,"Food, Drink & Tobacco","United Kingdom","http://images.forbes.com/media/lists/companies/associated-british-foods_416x416.jpg"
"504","ppg",NA,14052,14226,20184,27269,30583,30194,27265,25040,28299,21429,"Chemicals","United States","http://images.forbes.com/media/lists/companies/ppg_416x416.jpg"
"505","citic",NA,9791,6348,4689,6483,44264,45380,41408,44397,43607,30282,"Trading Companies","Hong Kong","http://images.forbes.com/media/lists/companies/citic_416x416.jpg"
"506","industrial-bank-of-korea",NA,8352,7007,6367,6435,6603,6319,6018,8890,7307,3742,"Banking","South Korea","http://images.forbes.com/media/lists/companies/industrial-bank-of-korea_416x416.jpg"
"507","formosa-chemicals",NA,19025,17319,14112,14118,13464,15213,17864,22446,20619,14929,"Chemicals","Taiwan","http://images.forbes.com/media/lists/companies/formosa-chemicals_416x416.jpg"
"508","dongfeng-motor-group",NA,14936,15917,11769,12440,14359,9853,9359,9714,9379,5724,"Consumer Durables","China","http://images.forbes.com/media/lists/companies/dongfeng-motor-group_416x416.jpg"
"509","huaneng-power-international",NA,9547,11128,14902,12143,19035,16291,14429,13633,13735.1,5913,"Utilities","China","http://images.forbes.com/media/lists/companies/huaneng-power-international_416x416.jpg"
"510","swiss-life-holding",NA,5169,4024,5090,7892,8149,8358,10245,12263,15856,11291,"Insurance","Switzerland","http://images.forbes.com/media/lists/companies/swiss-life-holding_416x416.jpg"
"511","keppel",NA,14800,15593,16994,15607,12025,7660,8886,11233,9009,7734,"Conglomerates","Singapore","http://images.forbes.com/media/lists/companies/keppel_416x416.jpg"
"512","adidas",NA,13352,16286,21801,22759,17097,25198,39605,46154,51987,44904,"Household & Personal Products","Germany","http://images.forbes.com/media/lists/companies/adidas_416x416.jpg"
"513","old-mutual",NA,11728,14382,15452,16562,16740,13723,11724,16977,8261,3441,"Diversified Financials","South Africa","http://images.forbes.com/media/lists/companies/old-mutual_416x416.jpg"
"514","mol-hungarian-oil",NA,11137,9482,7462,5637,4803,6264,7268,7971,7381,4043,"Oil & Gas Operations","Hungary","http://images.forbes.com/media/lists/companies/mol-hungarian-oil_416x416.jpg"
"515","las-vegas-sands",NA,29102,41548,44129,67240,45395,37247,44623,61667,52721,36674,"Hotels, Restaurants & Leisure","United States","http://images.forbes.com/media/lists/companies/las-vegas-sands_416x416.jpg"
"516","galp-energia",NA,17513,14532,13148,14299,9203,11260,12784,16952,13435,9551,"Oil & Gas Operations","Portugal","http://images.forbes.com/media/lists/companies/galp-energia_416x416.jpg"
"517","falabella",NA,22106,23321,26802,21571,19014,18413,21319,23573,18265,6843,"Retailing","Chile","http://images.forbes.com/media/lists/companies/falabella_416x416.jpg"
"518","lotte-shopping",NA,11030,9441,10292,9282,6238,7288,5744,6294,4451,2316,"Retailing","South Korea","http://images.forbes.com/media/lists/companies/lotte-shopping_416x416.jpg"
"519","td-holdings",NA,9749,8415,8105,8016,9692,6746,9156,10331,6804,5275,"Insurance","Japan","http://images.forbes.com/media/lists/companies/td-holdings_416x416.jpg"
"520","hdfc-bank",NA,22390,23686,28071,29649,41612,41505,57414,77596,89939,73146,"Banking","India","http://images.forbes.com/media/lists/companies/hdfc-bank_416x416.jpg"
"521","franklin-resources",NA,26993,27092,31858,34331,32068,24103,23619,17967,17986,9362,"Diversified Financials","United States","http://images.forbes.com/media/lists/companies/franklin-resources_416x416.jpg"
